"id","predictedTissue","predictedTissueScore","annotatedTissue","misclasified","study","sra.library_layout","Tissue","too_low"
"SRR7613947","Microglia","0.884522958200245","NA","FALSE","SRP155574","paired","Microglia","FALSE"
"SRR8180294","Microglia","0.984531383889275","Microglia","FALSE","SRP155574","paired","Microglia","FALSE"
"SRR8180295","Microglia","0.976757266327843","Microglia","FALSE","SRP155574","paired","Microglia","FALSE"
"SRR8180296","Microglia","0.981130452340427","Microglia","FALSE","SRP155574","paired","Microglia","FALSE"
"SRR8180297","Microglia","0.976079796201107","Microglia","FALSE","SRP155574","paired","Microglia","FALSE"
"SRR8180298","Microglia","0.972788161923689","Microglia","FALSE","SRP155574","paired","Microglia","FALSE"
"SRR8180299","Microglia","0.975122206967705","Microglia","FALSE","SRP155574","paired","Microglia","FALSE"
"SRR8180300","Microglia","0.986421418732783","Microglia","FALSE","SRP155574","paired","Microglia","FALSE"
"SRR8180301","Microglia","0.988699151341444","Microglia","FALSE","SRP155574","paired","Microglia","FALSE"
"SRR8180302","Microglia","0.992019267333589","Microglia","FALSE","SRP155574","paired","Microglia","FALSE"
